id,code,name,industry,foundation,sales,profit,cagr,answer1,answer2,
155,8600,トモニホールディングス,地方銀行,http://www.tomony-hd.co.jp/,715,23,3,4,1,
156,6146,ディスコ,半導体・液晶製造装置（後工程）,http://www.disco.co.jp/,1342,23,7,4,1,
157,2480,システム・ロケーション,中古車オークション,http://www.slc.jp/,10,22,1,4,1,
158,2352,エイジア,ソフトウェア（営業・マーケティング）,http://www.azia.jp/,13,22,11,4,1,
159,6264,マルマエ,半導体・液晶製造装置（前工程）,http://www.marumae.com/,22,22,12,4,1,
160,7191,イントラスト,リスク保証サービス,http://www.entrust-inc.jp/,27,22,N/A,4,1,
161,3649,ファインデックス,医療情報システム開発,http://findex.co.jp/,33,22,11,4,1,
162,6032,インターワークス,専門情報サイト,http://interworks.jp/,40,22,20,4,1,
163,6161,エスティック,金具・作業工具,http://www.estic.co.jp/,41,22,11,4,1,
164,7839,SHOEI,スポーツ用品,http://www.shoei.com/,141,22,9,4,1,
165,4293,セプテーニ・ホールディングス,ネット広告（代理店）,http://www.septeni-holdings.co.jp/,171,22,-13,4,1,
166,4082,第一稀元素化学工業,ファインセラミックス,http://www.dkkk.co.jp/,234,22,-1,4,1,
167,4849,エン・ジャパン,人材紹介,http://corp.en-japan.com/,317,22,19,4,1,
168,7184,富山第一銀行,地方銀行,https://www.first-bank.co.jp/,338,22,4,4,1,
169,8381,山陰合同銀行,地方銀行,http://www.gogin.co.jp/,937,22,1,4,1,
170,8369,京都銀行,地方銀行,http://www.kyotobank.co.jp/,1104,22,0,4,1,
171,8382,中国銀行,地方銀行,http://www.chugin.co.jp/,1429,22,4,4,1,
172,7189,西日本フィナンシャルホールディングス,地方銀行,http://www.nnfh.co.jp,1459,22,N/A,4,1,
173,8418,山口フィナンシャルグループ,地方銀行,http://www.ymfg.co.jp/,1636,22,1,4,1,
174,3659,ネクソン,ソーシャルゲーム,http://company.nexon.co.jp/,1831,22,11,4,1,
175,9602,東宝,映画館・劇場運営,http://www.toho.co.jp/,2335,22,3,4,1,
176,4508,田辺三菱製薬,医療用医薬品,http://www.mt-pharma.co.jp/,4240,22,0,4,1,
177,7741,HOYA,光学機器,http://www.hoya.co.jp/,4789,22,5,4,1,
178,4689,ヤフー,ポータルサイト,http://ir.yahoo.co.jp/,8537,22,20,4,1,
179,8316,三井住友フィナンシャルグループ,都市銀行,http://www.smfg.co.jp/,51332,22,3,4,1,
180,4351,山田債権回収管理総合事務所,債権回収（サービサー）,http://www.yamada-servicer.co.jp/,27,21,3,4,1,
181,3237,イントランス,リノベーション,http://www.intrance.jp/,27,21,18,4,1,
182,3646,駅探,専門情報サイト,http://ekitan.co.jp/,29,21,2,4,1,
183,3694,オプティム,ソフトウェア（インフラ系）,http://www.optim.co.jp/,33,21,18,4,1,
184,6071,IBJ,ブライダル関連,http://www.ibjapan.jp/,53,21,20,4,1,
185,3800,ユニリタ,ソフトウェア（業務支援）,http://www.unirita.co.jp/,69,21,12,4,1,
186,9414,日本BS放送,CATV・衛星放送,http://www.bs11.jp/,102,21,N/A,4,1,
187,4792,山田コンサルティンググループ,経営・財務アドバイザリーサービス,http://www.yamada-cg.co.jp/,108,21,10,4,1,
188,7749,メディキット,医療用器具,http://www.medikit.co.jp/,169,21,4,4,1,
189,8890,レーサム,不動産投資,http://www.raysum.co.jp/,338,21,17,4,1,
190,7575,日本ライフライン,医療用機器販売,http://www.jll.co.jp/,372,21,11,4,1,
191,4924,シーズ・ホールディングス,化粧品,http://ci-z-holdings.com/,395,21,2,4,1,
192,2815,アリアケジャパン,調味料類,http://www.ariakejapan.com/,488,21,8,4,1,
193,8545,関西アーバン銀行,地方銀行,http://www.kansaiurban.co.jp/,891,21,-3,4,1,
194,8386,百十四銀行,地方銀行,http://www.114bank.co.jp/,905,21,4,4,1,
195,7846,パイロットコーポレーション,文房具・事務用品,http://www.pilot.co.jp/,984,21,7,4,1,
196,8334,群馬銀行,地方銀行,http://www.gunmabank.co.jp/,1441,21,2,4,1,
197,8377,ほくほくフィナンシャルグループ,地方銀行,http://www.hokuhoku-fg.co.jp/,1874,21,-1,4,1,
198,6869,シスメックス,医療用電子機器,http://www.sysmex.co.jp/,2499,21,11,4,1,
199,9437,NTTドコモ,移動体通信,https://www.nttdocomo.co.jp/,45846,21,1,4,1,
200,2930,北の達人コーポレーション,健康食品,http://www.kitanotatsujin.com/,27,20,14,4,1,
201,3983,オロ,ソフトウェア（ERP）,https://www.oro.com/ja/,34,20,N/A,4,1,
202,8944,ランドビジネス,不動産投資,http://www.lbca.co.jp/,46,20,-3,4,1,
203,3923,ラクス,ソフトウェア（業務支援）,http://www.rakus.co.jp/,49,20,N/A,4,1,
204,4771,エフアンドエム,アウトソーシングサービス,http://www.fmltd.co.jp/,62,20,9,4,1,
205,6047,Gunosy,ポータルサイト,http://gunosy.co.jp/,77,20,N/A,4,1,
206,7775,大研医器,医療用器具,http://www.daiken-iki.co.jp/,84,20,4,4,1,
207,4971,メック,化学薬品,http://www.mec-co.com/,93,20,7,4,1,
208,2344,平安レイサービス,葬祭関連,http://www.heian-group.co.jp/,102,20,1,4,1,
209,4809,パラカ,駐車場管理・運営,http://www.paraca.co.jp/,120,20,11,4,1,
210,3964,オークネット,中古車オークション,http://www.aucnet.co.jp/,200,20,N/A,4,1,
211,8537,大光銀行,地方銀行,http://www.taikobank.jp/,223,20,0,4,1,
212,6055,ジャパンマテリアル,工業ガス,http://www.j-material.jp/,223,20,21,4,1,
213,7844,マーベラス,ソーシャルゲーム,http://www.marv.jp/,294,20,11,4,1,
214,2412,ベネフィット・ワン,アウトソーシングサービス,http://www.benefit-one.co.jp/,295,20,11,4,1,
215,3593,ホギメディカル,医療用サプライ,http://www.hogy.co.jp/,369,20,2,4,1,
216,4047,関東電化工業,機能性化学（電子材料）,http://www.kantodenka.co.jp/,460,20,6,4,1,
217,8366,滋賀銀行,地方銀行,http://www.shigagin.com/,902,20,0,4,1,
218,8714,池田泉州ホールディングス,地方銀行,http://www.senshuikeda-hd.co.jp/,1031,20,-2,4,1,
219,2337,いちご,不動産投資,http://www.ichigo.gr.jp/,1093,20,46,4,1,
220,6412,平和,アミューズメント機器,http://www.heiwanet.co.jp/,1862,20,1,4,1,
221,7309,シマノ,自転車,http://www.shimano.com/,3230,20,6,4,1,
222,8830,住友不動産,総合ディベロッパー,http://www.sumitomo-rd.co.jp/,9252,20,5,4,1,
223,4503,アステラス製薬,医療用医薬品,http://www.astellas.com/jp/,13117,20,5,4,1,
224,8411,みずほフィナンシャルグループ,都市銀行,https://www.mizuho-fg.co.jp/,32929,20,2,4,1,
225,8306,三菱UFJフィナンシャル・グループ,都市銀行,http://www.mufg.jp/,59796,20,5,4,1,
226,3961,シルバーエッグ・テクノロジー,ネット広告（アドテクノロジー）,http://www.silveregg.co.jp/,7,19,N/A,4,2,
227,3922,PR　TIMES,企業パブリシティ支援,http://prtimes.jp/,14,19,N/A,4,2,
228,3853,インフォテリア,ソフトウェア（インフラ系）,http://www.infoteria.com/,16,19,4,4,2,
229,3921,ネオジャパン,ソフトウェア（インフラ系）,http://www.neo.co.jp/,21,19,N/A,4,2,
230,3137,ファンデリー,健康食品,http://www.fundely.co.jp/,32,19,9,4,2,
231,3753,フライトホールディングス,各種受託システム開発,http://www.flight-hd.co.jp/,32,19,26,4,2,
232,8918,ランド,マンション開発,http://www.land.jp/,43,19,-11,4,2,
233,8732,マネーパートナーズグループ,ネット証券,http://www.moneypartners-group.co.jp/,60,19,1,4,2,
234,4923,コタ,業務用ヘア化粧品,http://www.cota.co.jp/,66,19,3,4,2,
235,4574,大幸薬品,一般用医薬品,http://www.seirogan.co.jp/,83,19,2,4,2,
236,4746,東計電算,各種受託システム開発,http://www.toukei.co.jp/,126,19,2,4,2,
237,5999,イハラサイエンス,パイプ・バルブ,http://www.ihara-sc.co.jp/,135,19,8,4,2,
238,4820,EMシステムズ,医療情報システム開発,http://www.emsystems.co.jp/,137,19,6,4,2,
239,4825,ウェザーニューズ,専門情報サイト,http://weathernews.com/,145,19,2,4,2,
240,6788,日本トリム,家庭用浄水器,http://www.nihon-trim.co.jp/,153,19,7,4,2,
241,6289,技研製作所,建設機械,http://www.giken.com/,220,19,16,4,2,
242,4342,セコム上信越,警備保障サービス,http://www.secom-joshinetsu.co.jp/,236,19,1,4,2,
